"Timestamp	What is your first and last name?	What is your Major?	What degree are you pursuing?	Please, tell me about yourself. What interest you? Do you have any hobbies?	What do you expect to learn in Information Visualization? How do expect to use what you learn?	How would you rate your Information Visualization skills?	How would you rate your statistical skills?	How would you rate your mathematics skills?	How would you rate your drawing and artistic skills?	How would you rate your computer usage skills?	How would you rate your programming skills?	How would you rate your computer graphics programming skills?	How would you rate your human-computer interaction programming skills?	How would you rate your user experience evaluation skills?	How would you rate your communication skills?	How would you rate your collaboration skills?	How would you rate your code repository skills?"
"1-15-2019 15:44:53	Hannah Abbott 	Computer Science	Bachelor in Science	I'm interested in visualization because it allows us to gain insight from complex and large data sets. I like skiing, hiking, and music.	Be able to tell a story through data driven document.	4	3	6	2	6	5	3	4	1	4	3	5"
"1-15-2019 16:20:11	Ludo Bagman 	Machine Learning	Master in Science	Going to the gym	I wish to learn and be proficient at relevant and useful visualization tools and methods in order to be able to create vizualisations in projects and future work. 	1	5	5	1	7	8	3	2	1	10	8	7"
"1-15-2019 16:21:11	Bathilda Bagshot 	Engineering Physics	Bachelor in Science	I am an Erasmus exchange student from Istanbul Technical University. I am studying Engineering Physics but I have a huge interest in programming and data science. I am taking half of my courses in machine learning, data science and artificial intelligence fields. I am familiar with Photoshop and Illustrator, done some poster works with them in the past. I like minimalist designs and making them avant-garde.	Representing data in a meaningful way and making understandable for everyone. Also the methods and concepts for different types of data structres.	6	5	5	3	10	7	4	6	4	10	7	5"
"1-15-2019 16:27:38	Katie Bell 	Computer Science, Media Technology	Master in Science	Games, art	I expect to learn how to design an interactive graphics s.t. it is easy for the user to understand and guide through. I expect to use it to present data to the user e.g. game stats, food choices and interactive museums.	2	2	4	7	6	3	2	2	4	7	5	2"
"1-15-2019 16:32:38	Cuthbert Binns	Computer Science	Master in Science	I enjoy doodling and bullet journaling, dancing and playing the badminton.	I want to acquire the skills of making informative and interactive visualizations, and would also like to add some information visualization projects to my portfolio. 	5	5	5	3	7	7	2	3	1	4	5	7"
"1-15-2019 17:50:03	Phineas Nigellus Black	Human-Computer Interaction	Master in Science	Film, music videos, skiing	I don’t really know yet.	4	5	6	7	6	3	2	5	7	10	8	6"
"1-15-2019 18:04:31	Sirius Black	Computer Science	Master in Science	I'm interested in machine learning, graphics and visualization. I do also make computer games as a hobby.	I hope to somehow be able to apply it in conjunction with machine learning (perhaps using it to visualize machine learning data or decision making). Mostly though, it just seemed like a generally useful skill to have.	2	2	4	8	7	5	4	3	2	4	5	4"
"1-15-2019 18:15:02	Amelia Bones 	Media Technology	Master in Science	Gym, baking cakes, socialize with friends.	I expect to learn how to visualize information in good and handy ways. Hopefully I can use my new learnings in some other projects and eventually in my future career.	3	2	5	5	6	2	1	1	3	8	7	3"
"1-15-2019 18:30:10	Susan Bones 	Computer Science	Master in Science	Football, Youtube	I would like to create clear and fancy visulaizations of the data that I analyse and process. So I expect to learn how to be clear and efficient.	2	6	8	2	6	4	2	2	3	7	6	5"
"1-15-2019 18:44:49	Terry Boot	Media Technology	Master in Science	Music, dance	How to, in a efficient way, visualize data. How to do that interactively rather than relying on things like infographics where the creator chooses what data to show instead of the user.	7	6	5	4	10	8	1	3	2	10	3	8"
